train_mse,val_mse,test_mse,train_phy,val_phy,test_phy,train_norm_phy,train_e,val_e,test_e,val_norm_phy,test_norm_phy,train_all,val_all,test_all,lambda_s_train,lambda_s_test,lambda_e_train,lambda_e_test
0.10452262312173843,0.10452262312173843,0.16126488149166107,0.04560036584734917,0.045427922159433365,0.1299016773700714,0.4379064738750458,0.9880281090736389,0.9881455302238464,0.9614452719688416,0.43859121203422546,0.8993882536888123,0.10452262312173843,0.0,0.0,0.0,0.0,0.0,0.0
0.08383847028017044,0.08383847028017044,0.13181906938552856,0.07927639037370682,0.07876042276620865,0.1994641274213791,0.5547324419021606,0.900144100189209,0.9014309644699097,0.8479828834533691,0.5556281208992004,1.0276029109954834,0.08383847028017044,0.0,0.0,0.0,0.0,0.0,0.0
0.06438975781202316,0.06438975781202316,0.10783051699399948,0.11189288645982742,0.11153823137283325,0.24997445940971375,0.5512505173683167,0.8140613436698914,0.8158076405525208,0.7543087005615234,0.5530276298522949,1.0145095586776733,0.06438975781202316,0.0,0.0,0.0,0.0,0.0,0.0
0.04585910215973854,0.04585910215973854,0.09209822863340378,0.14024631679058075,0.14042630791664124,0.2738078534603119,0.4627227187156677,0.7244560718536377,0.7257919311523438,0.6872495412826538,0.46413302421569824,0.9485530853271484,0.04585910215973854,0.0,0.0,0.0,0.0,0.0,0.0
0.02864145301282406,0.02864145301282406,0.08386395126581192,0.1516147255897522,0.1520261913537979,0.27585291862487793,0.33160361647605896,0.6301563382148743,0.6305202841758728,0.6449834704399109,0.33152520656585693,0.9074280858039856,0.02864145301282406,0.0,0.0,0.0,0.0,0.0,0.0
0.014118382707238197,0.014118382707238197,0.07331425696611404,0.12692686915397644,0.12686192989349365,0.29402685165405273,0.19032321870326996,0.5344350934028625,0.5342158675193787,0.5910206437110901,0.18946976959705353,0.8201251029968262,0.014118382707238197,0.0,0.0,0.0,0.0,0.0,0.0
0.004369286820292473,0.004369286820292473,0.0529511496424675,0.06785200536251068,0.0676458477973938,0.33734992146492004,0.07144764810800552,0.44186776876449585,0.4420248866081238,0.48520487546920776,0.07121574133634567,0.5650409460067749,0.004369286820292473,0.0,0.0,0.0,0.0,0.0,0.0
0.002331382129341364,0.002331382129341364,0.04190189018845558,0.025180043652653694,0.02493729442358017,0.3401243984699249,0.019672086462378502,0.36123692989349365,0.3616480827331543,0.3919352889060974,0.019528158009052277,0.3738325238227844,0.002331382129341364,0.0,0.0,0.0,0.0,0.0,0.0
0.006524405442178249,0.006524405442178249,0.04474475607275963,0.0770483985543251,0.07781075686216354,0.32615533471107483,0.04881646856665611,0.2996268570423126,0.2993837893009186,0.3782544434070587,0.04924999549984932,0.3923892080783844,0.006524405442178249,0.0,0.0,0.0,0.0,0.0,0.0
0.012328462675213814,0.012328462675213814,0.045991480350494385,0.21148782968521118,0.21414034068584442,0.34623590111732483,0.12249379605054855,0.26250842213630676,0.2620766758918762,0.35948804020881653,0.12382759898900986,0.4038914442062378,0.012328462675213814,0.0,0.0,0.0,0.0,0.0,0.0
0.014559323899447918,0.014559323899447918,0.04180651903152466,0.2884513735771179,0.28903481364250183,0.40085551142692566,0.16949613392353058,0.24696920812129974,0.24696308374404907,0.30522897839546204,0.16989284753799438,0.3568442165851593,0.014559323899447918,0.0,0.0,0.0,0.0,0.0,0.0
0.012964429333806038,0.012964429333806038,0.039752181619405746,0.26516133546829224,0.26531365513801575,0.37496986985206604,0.16805505752563477,0.24738267064094543,0.24745945632457733,0.2960534989833832,0.16826993227005005,0.3364368677139282,0.012964429333806038,0.0,0.0,0.0,0.0,0.0,0.0
0.009017088450491428,0.009017088450491428,0.039346400648355484,0.17932970821857452,0.18095237016677856,0.2865241765975952,0.12891773879528046,0.2592872977256775,0.2590636610984802,0.3284619450569153,0.12996651232242584,0.3306087851524353,0.009017088450491428,0.0,0.0,0.0,0.0,0.0,0.0
0.005071207880973816,0.005071207880973816,0.039280056953430176,0.0962928831577301,0.09769667685031891,0.2356671839952469,0.07978051900863647,0.27961796522140503,0.27925965189933777,0.35403648018836975,0.08082330971956253,0.3288085460662842,0.005071207880973816,0.0,0.0,0.0,0.0,0.0,0.0
